DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE_TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED_GENES	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P_VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	13q33.3	13	107575665	FAM155A	FAM155A			728215			rs144312179-?	rs144312179	0	144312179	intron_variant	0	NR	6,00E-07	6.221848749616356	(Additive)	4.830918	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	17p12	17	12496210	LINC00670	MAP2K4 - LINC00670	6416	284034		352379	53758	rs149085856-?	rs149085856	0	149085856	intergenic_variant	1	NR	2,00E-07	6.698970004336019	(Additive)	3.867	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	7p12.1	7	53609144	Intergenic	LOC105375283 - LINC01446	105375283	401337		34615	46365	rs17624383-?	rs17624383	0	17624383	intergenic_variant	1	NR	6,00E-07	6.221848749616356	(Additive)	0.4	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	4q34.3	4	181901179	AC108142.1	TENM3			55714			rs1878468-?	rs1878468	0	1878468	intron_variant	0	NR	9,00E-07	6.045757490560675	(Heterozygous)	2.6109662	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	5q31.2	5	137676072	KLHL3, MYOT	KLHL3			26249			rs2967790-?	rs2967790	0	2967790	intron_variant	0	NR	6,00E-07	6.221848749616356	(Additive)	1.6949153	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	11q24.3	11	130547627	Intergenic	LOC105369574, BAK1P2			105369574, 601			rs3133394-?	rs3133394	0	3133394	upstream_gene_variant	0	NR	9,00E-07	6.045757490560675	(Additive)	1.814882	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	11p15.4	11	5227002	HBB	HBB			3043			rs334-?	rs334	0	334	missense_variant	0	NR	9,00E-13	12.045757490560675	(Heterozygous)	7.633588	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	1p31.3	1	67265931	IL23R, IL12RB2	IL23R - RNU4ATAC4P	149233	106479539		5952	1670	rs6682413-?	rs6682413	0	6682413	downstream_gene_variant	1	NR	8,00E-07	6.096910013008056	(Recessive)	2.0876827	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	8p23.2	8	4897316	CSMD1	CSMD1			64478			rs73505850-?	rs73505850	0	73505850	intron_variant	0	NR	8,00E-07	6.096910013008056	(Additive)	4.795	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	4q23	4	99508600	C4orf17	ADH7 - C4orf17	131	84103		73090	2404	rs73832816-?	rs73832816	0	73832816	upstream_gene_variant	1	NR	4,00E-07	6.3979400086720375	(Recessive)	3.4602075	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	19q12	19	30578732	ZNF536	ZNF536			9745			rs8109875-?	rs8109875	0	8109875	intron_variant	0	NR	9,00E-07	6.045757490560675	(Recessive)	1.9723865	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	6p21.1	6	41237952	TREML4	TREML4			285852			rs9296359-?	rs9296359	0	9296359	3_prime_UTR_variant	0	NR	1,00E-07	7.0	(Heterozygous)	4.087	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	12q24.32	12	126753075	LINC00944	LINC00944			387895			rs11335470-?	rs11335470	0	11335470	intron_variant	0	NR	2,00E-06	5.698970004336019	(Heterozygous)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	5p12	5	43909241	Intergenic	NNT - RNU6-381P	23530	106480576		203675	157383	rs113449872-?	rs113449872	0	113449872	intergenic_variant	1	NR	3,00E-07	6.522878745280337	(Heterozygous)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	4q35.2	4	189796550	AF146191.4-004	LOC105377616 - LOC105377619	105377616	105377619		73393	14174	rs114169033-?	rs114169033	0	114169033	intron_variant	1	NR	1,00E-06	6.0	(Additive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	13q33.3	13	107575665	FAM155A	FAM155A			728215			rs144312179-?	rs144312179	0	144312179	intron_variant	0	NR	3,00E-06	5.522878745280337	(Additive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	17p12	17	12496210	LINC00670	MAP2K4 - LINC00670	6416	284034		352379	53758	rs149085856-?	rs149085856	0	149085856	intergenic_variant	1	NR	1,00E-06	6.0	(Additive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	7p12.1	7	53609144	Intergenic	LOC105375283 - LINC01446	105375283	401337		34615	46365	rs17624383-?	rs17624383	0	17624383	intergenic_variant	1	NR	3,00E-06	5.522878745280337	(Additive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	4q34.3	4	181901179	AC108142.1	TENM3			55714			rs1878468-?	rs1878468	0	1878468	intron_variant	0	NR	1,00E-06	6.0	(Heterozygous)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	5q31.2	5	137676072	KLHL3, MYOT	KLHL3			26249			rs2967790-?	rs2967790	0	2967790	intron_variant	0	NR	2,00E-06	5.698970004336019	(Additive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	11q24.3	11	130547627	Intergenic	LOC105369574, BAK1P2			105369574, 601			rs3133394-?	rs3133394	0	3133394	upstream_gene_variant	0	NR	1,00E-06	6.0	(Additive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	1p31.3	1	67273345	IL23R, IL12RB2	RNU4ATAC4P - LOC100130497	106479539	100130497		5619	4707	rs6588252-?	rs6588252	0	6588252	upstream_gene_variant	1	NR	9,00E-07	6.045757490560675	(Recessive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	8p23.2	8	4897316	CSMD1	CSMD1			64478			rs73505850-?	rs73505850	0	73505850	intron_variant	0	NR	1,00E-06	6.0	(Additive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	4q23	4	99508600	C4orf17	ADH7 - C4orf17	131	84103		73090	2404	rs73832816-?	rs73832816	0	73832816	upstream_gene_variant	1	NR	9,00E-07	6.045757490560675	(Recessive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	19q12	19	30578732	ZNF536	ZNF536			9745			rs8109875-?	rs8109875	0	8109875	intron_variant	0	NR	4,00E-06	5.3979400086720375	(Recessive)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria (adjusted for sickle cell variant rs334)	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	6p21.1	6	41237952	TREML4	TREML4			285852			rs9296359-?	rs9296359	0	9296359	3_prime_UTR_variant	0	NR	4,00E-07	6.3979400086720375	(Heterozygous)		[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005357	Genome-wide genotyping array
20/11/2013	23717212	Band G	23/05/2013	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23717212	Imputation-based meta-analysis of severe malaria in three African populations.	Malaria	5,425 African ancestry cases, 6,891 African ancestry controls	NA	2q32.1	2	184932501	NR	ZNF804A			91752			rs6755404-A	rs6755404	0	6755404	intron_variant	0	NR	1,00E-06	6.0		1.26	[1.15-1.38]	Illumina [1300000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST002033	Genome-wide genotyping array
20/11/2013	23717212	Band G	23/05/2013	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23717212	Imputation-based meta-analysis of severe malaria in three African populations.	Malaria	5,425 African ancestry cases, 6,891 African ancestry controls	NA	9q34.2	9	133257367	ABO	ABO			28			rs8176722-A	rs8176722	0	8176722	intron_variant	0	NR	9,00E-10	9.045757490560675		1.28	[1.19-1.39]	Illumina [1300000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST002033	Genome-wide genotyping array
20/11/2013	23717212	Band G	23/05/2013	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23717212	Imputation-based meta-analysis of severe malaria in three African populations.	Malaria	5,425 African ancestry cases, 6,891 African ancestry controls	NA	11p15.4	11	4769345	HBB	OR51F1			256892			rs12788102-A	rs12788102	0	12788102	synonymous_variant	0	NR	2,00E-16	15.698970004336019		2.15	[1.79-2.59]	Illumina [1300000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST002033	Genome-wide genotyping array
20/11/2013	23717212	Band G	23/05/2013	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23717212	Imputation-based meta-analysis of severe malaria in three African populations.	Malaria	5,425 African ancestry cases, 6,891 African ancestry controls	NA	11q23.1	11	110870290	NR	HNRNPA1P60 - LOC105369488	120364	105369488		81221	51717	rs1469170-A	rs1469170	0	1469170	intergenic_variant	1	NR	8,00E-08	7.096910013008056		1.2	[1.12-1.29]	Illumina [1300000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST002033	Genome-wide genotyping array
20/11/2013	23717212	Band G	23/05/2013	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23717212	Imputation-based meta-analysis of severe malaria in three African populations.	Malaria	5,425 African ancestry cases, 6,891 African ancestry controls	NA	14q13.3	14	36384931	NR	DPPA3P2 - RNU7-93P	400206	106480813		12562	20283	rs12590640-T	rs12590640	0	12590640	intron_variant	1	NR	4,00E-06	5.3979400086720375		1.15	[1.09-1.23]	Illumina [1300000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST002033	Genome-wide genotyping array
20/11/2013	23717212	Band G	23/05/2013	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23717212	Imputation-based meta-analysis of severe malaria in three African populations.	Malaria	5,425 African ancestry cases, 6,891 African ancestry controls	NA	16q23.3	16	83327170	NR	CDH13			1012			rs9940464-T	rs9940464	0	9940464	intron_variant	0	NR	5,00E-07	6.301029995663981		1.17	[1.10-1.25]	Illumina [1300000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST002033	Genome-wide genotyping array
14/06/2009	19465909	Jallow M	24/05/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19465909	Genome-wide and fine-resolution association analysis of malaria in West Africa.	Malaria	958 Gambian ancestry cases, 1,382 Gambian ancestry controls	1,087 Gambian ancestry cases, 2,376 Gambian ancestry controls	7p12.1	7	50555014	DDC	DDC			1644			rs1451375-?	rs1451375	0	1451375	intron_variant	0	0.78	6,00E-06	5.221848749616356		1.33	[1.18-1.52]	Affymetrix [402814]	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST000410	Genome-wide genotyping array
